Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
4/7/2009,79.443024,13.275982,13.818521,32.019794,16.734686,8.555303,8.781581
4/8/2009,81.406006,13.624922,14.048145,32.71941,16.76177,8.974946,8.948058
4/9/2009,81.816277,13.990092,14.614008,33.882729,17.249189,9.340442,9.530725
4/13/2009,80.408417,13.93329,14.671412,33.256325,17.204058,9.496115,9.580666
4/14/2009,79.861374,14.063129,14.704215,33.191235,17.032558,9.340442,9.788763
4/15/2009,79.523506,13.803449,14.400781,33.272591,16.779825,9.042631,9.514075
4/16/2009,81.599083,14.44453,14.82723,33.87458,17.312366,10.071432,9.847025
4/17/2009,81.47036,14.58248,14.753423,33.337669,17.204058,10.132348,9.921939
4/20/2009,80.794601,14.055012,14.195762,32.239429,16.987431,9.719474,9.264362
4/21/2009,82.307037,13.884599,14.507391,32.760075,17.62829,10.08497,9.364248
4/22/2009,82.500092,14.322802,14.302375,32.638054,17.465818,9.902221,9.663903
4/23/2009,81.591019,14.071239,14.449991,33.134296,17.763687,10.017285,9.530725
4/24/2009,80.513008,14.509445,15.106063,33.646793,17.862976,9.83878,9.738818
4/27/2009,80.408417,14.176735,15.065054,35.119255,17.844927,9.47334,9.647256
4/28/2009,82.009346,13.882749,15.311079,34.362694,17.817844,9.26251,9.497428
4/29/2009,83.698769,14.19307,15.786733,35.046051,17.691473,9.761477,9.647256
4/30/2009,83.031052,14.748377,15.844144,34.427769,17.456791,9.937169,10.163332
5/1/2009,84.157349,14.65855,16.057362,34.704369,17.456791,10.049612,10.138358
5/4/2009,85.428429,14.993366,15.991753,35.265686,17.122822,10.836715,10.621136
5/5/2009,85.154892,14.585052,16.098372,35.379581,17.158926,10.351802,10.31316
5/6/2009,84.605011,14.952539,16.081968,35.574829,17.204058,10.66805,10.554544
5/7/2009,82.963341,14.356395,15.540708,34.444057,16.626375,10.169083,9.863675
5/8/2009,82.073822,14.127743,15.360294,33.996613,16.536112,10.365859,9.89697
5/11/2009,83.214043,14.095072,15.261877,34.102371,16.752741,10.070695,9.805408
5/12/2009,84.055092,13.743922,15.352087,33.296993,16.590271,9.810671,9.604615
5/13/2009,82.696503,13.939911,14.802626,32.475342,16.310452,9.501451,9.194662
5/14/2009,81.717972,14.323728,14.835431,32.971584,16.662481,9.726338,9.253229
5/15/2009,81.976768,14.39723,14.696017,33.126156,16.626375,9.909058,8.960403
5/18/2009,84.572647,14.617719,15.352087,34.159328,17.077686,10.281527,9.303424
5/19/2009,85.324738,14.76471,15.4833,34.444057,17.122822,10.69616,9.311791
5/20/2009,84.144035,15.026034,15.253677,34.631145,17.095741,10.661022,9.177927
5/21/2009,83.149361,14.666714,14.843633,33.915257,16.76177,10.499386,8.90184
5/22/2009,82.397255,15.1077,14.679613,33.606125,16.833977,10.302609,8.926938
5/26/2009,84.928482,15.51601,15.163465,35.216877,17.213079,10.457219,9.144464
5/27/2009,83.238327,15.499679,14.942038,34.653347,17.140869,10.541552,9.269959
5/28/2009,84.661598,15.736501,15.179867,35.078037,17.339447,10.815632,9.45402
5/29/2009,85.947426,15.842667,15.171666,35.600739,17.682451,10.752383,9.420556
6/1/2009,87.637566,16.626635,15.991753,36.262283,17.980316,11.363792,10.089864
6/2/2009,86.392204,16.406141,16.081968,35.862087,18.368443,11.349736,9.713378
6/3/2009,86.117256,16.373476,15.876945,35.592567,18.359423,10.752383,9.520952
6/4/2009,85.987839,16.39798,16.131176,36.989155,18.603128,10.780493,9.654812
6/5/2009,86.723755,16.071325,16.295191,37.078991,18.693392,10.69616,9.186295
6/8/2009,86.925911,16.144823,16.295191,37.054489,18.837801,10.752383,9.085898
6/9/2009,87.451569,17.165613,16.467402,37.593525,18.946127,11.138906,9.228129
6/10/2009,87.621399,17.11661,16.3608,37.626194,18.720467,11.18107,9.136094
6/11/2009,88.470528,17.018618,16.483814,37.552692,18.900991,11.216211,9.328524
6/12/2009,87.508202,16.977785,16.327997,37.609863,18.819765,11.019435,9.395457
6/15/2009,87.031067,17.255442,15.876945,36.188778,18.251102,10.513441,9.286692
6/16/2009,86.78846,16.928783,15.647319,35.486389,17.772711,10.39397,9.119365
