,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
5/4/90 12:00 AM,2556800,6063200,11756400,6049200,4737600,47811200,3889200,140550000,2648000
5/7/90 12:00 AM,2956000,4866400,12811200,5220800,3360000,97347200,3499200,132760000,5889200
5/8/90 12:00 AM,3078400,4025600,14254800,4962000,3895200,50822400,2013600,144230000,3410800
5/9/90 12:00 AM,3811200,3491200,26126400,4860000,6984000,35164800,3303600,152220000,3859200
5/10/90 12:00 AM,2328000,6413600,31374000,7253200,5295200,48800000,3960000,158460000,4052400
5/11/90 12:00 AM,4471200,7691200,3067200,10189200,11158400,49164800,5478000,234040000,7393200
5/14/90 12:00 AM,4548800,8088000,27454800,9242400,10730400,47232000,5386200,225410000,7760800
5/15/90 12:00 AM,4096000,5343600,15062400,5944000,4573600,54118400,2728800,165730000,6212000
5/16/90 12:00 AM,2027200,3139200,17642400,7046000,5867200,38553600,3133200,159810000,5862400
5/17/90 12:00 AM,3970400,5488000,22114800,6090400,5209600,41731200,4522800,164770000,4817600
5/18/90 12:00 AM,3211200,9248000,25810800,7080800,7788800,101820800,3423600,162520000,7843600
5/21/90 12:00 AM,3136000,9382400,17463600,6942400,5282400,159593600,2689800,166280000,3660800
5/22/90 12:00 AM,3104000,10772000,18712800,7734400,8075200,142435200,3049200,203350000,5886400
5/23/90 12:00 AM,2829600,7417600,14547600,6812400,4572800,141180800,2338800,172330000,4402000
5/24/90 12:00 AM,5646400,5296400,16718400,5781200,7624000,146649600,2296800,155140000,1677600
5/25/90 12:00 AM,1046400,11562400,17535600,4594800,4170400,104688000,1841400,120250000,3017600
5/29/90 12:00 AM,2067200,8689200,13233600,7840400,4113600,61478400,2172000,137410000,3411200
5/30/90 12:00 AM,9123200,9890000,26901600,11428000,5364800,65072000,5032800,199540000,4519200
5/31/90 12:00 AM,1459200,3682400,11590800,7963600,4360000,69436800,2850000,165690000,4613600
6/1/90 12:00 AM,6037600,5624400,11856000,6168000,3893600,69065600,3777600,187860000,4401200
6/4/90 12:00 AM,4095200,6412400,12818400,5193200,4675200,59158400,3526800,175520000,3888000
6/5/90 12:00 AM,4626400,10702000,16773600,9407600,7473600,80256000,3747000,199720000,5932000
6/6/90 12:00 AM,2241600,7563600,12782400,6174000,5118400,86288000,3156600,164030000,5138000
6/7/90 12:00 AM,4026400,6668800,1023600,5949600,4116000,90118400,3491400,160360000,4442000
6/8/90 12:00 AM,5938400,11926800,14556000,5725200,3233600,63766400,3258000,142600000,3374400
6/11/90 12:00 AM,2344000,5661200,8870400,4326800,4675200,58236800,3247200,119550000,3446800
6/12/90 12:00 AM,2891200,5902000,16316400,5504800,6297600,46656000,4535400,157100000,5415600
6/13/90 12:00 AM,2357600,4963600,15201600,8964000,4272800,80265600,4562400,158910000,6205200
6/14/90 12:00 AM,1065600,5018000,12387600,6793200,3400000,58204800,2958600,135770000,3390800
6/15/90 12:00 AM,4539200,5163600,32414400,8447600,11037600,51552000,3757800,205130000,12080000
6/18/90 12:00 AM,1678400,3988800,14439600,5968000,3878400,52790400,2441400,133470000,3648000
6/19/90 12:00 AM,2339200,5623600,12129600,5782400,4236000,41715200,3186600,134930000,2900000
6/20/90 12:00 AM,3668000,5530000,10206000,4044800,5976000,39561600,3001800,137420000,3087600
6/21/90 12:00 AM,1526400,7455600,14396400,4004800,7897600,34304000,2204400,138570000,3492000
6/22/90 12:00 AM,4194400,10154400,18577200,4800400,5240000,34032000,3159000,172570000,4898000
6/25/90 12:00 AM,2152000,4378000,12343200,4504800,3631200,68979200,2148600,133100000,5698800
6/26/90 12:00 AM,4230400,4558800,12596400,5017600,5050400,50198400,3417000,141420000,4758800
6/27/90 12:00 AM,7047200,3490800,14412000,4606800,4978400,35760000,4814400,146620000,5004400
6/28/90 12:00 AM,4774400,8930000,9392400,3215200,5042400,30051200,3330000,136120000,2218800
6/29/90 12:00 AM,2417600,11622000,12418800,3414800,4873600,34953600,2423400,145510000,3490000
7/2/90 12:00 AM,2187200,4856400,11601600,3664000,3318400,35472000,1742400,130200000,1974400
7/3/90 12:00 AM,2879200,3572400,12076800,2336400,4122400,79257600,2590200,130050000,2485600
7/5/90 12:00 AM,3210400,3859200,13114800,3399200,3452800,61852800,2259000,128320000,3826400
7/6/90 12:00 AM,3752000,7481200,8640000,2834400,3204800,41801600,3820800,111730000,3255600
7/9/90 12:00 AM,2144800,11281200,13110000,3667200,4364800,37315200,2806800,119390000,1606800
7/10/90 12:00 AM,1352800,12923600,14000400,4976000,2693600,29696000,2507400,147630000,2809200
7/11/90 12:00 AM,2876800,8808800,17438400,4100000,4812800,28918400,3061800,162220000,4043600
7/12/90 12:00 AM,5879200,6537600,21802800,6945600,5858400,89040000,3529800,213180000,6308800
7/13/90 12:00 AM,3492800,8254400,32024400,8621600,5695200,93628800,6924000,215600000,8461200
7/16/90 12:00 AM,4791200,6428000,16550400,8924400,4836000,48729600,2949000,149430000,3858000
7/17/90 12:00 AM,3722400,4892000,16970400,6742800,4793600,54473600,3929400,176790000,5133200
7/18/90 12:00 AM,2243200,10309200,11205600,6736400,5488800,41849600,3597600,168760000,2742000
7/19/90 12:00 AM,2261600,20932400,16044000,5743200,5772800,63132800,3200400,161990000,6123200
7/20/90 12:00 AM,2084800,6858000,22041600,7034400,9797600,87724800,2837400,177810000,10204400
7/23/90 12:00 AM,3764800,9655200,39535200,8573200,10427200,74201600,4776000,209030000,8643200
7/24/90 12:00 AM,2372000,6928800,22772400,6158000,8896000,137100800,5067000,181920000,9848000
7/25/90 12:00 AM,4668000,3762400,19690800,5458800,6433600,60147200,3004800,163530000,5761200
7/26/90 12:00 AM,3671200,2885600,13587600,5483600,6153600,303321600,4509000,155040000,4698800
7/27/90 12:00 AM,5084800,2240000,15388800,7385200,3856000,51017600,5084400,149070000,5092400
7/30/90 12:00 AM,2398400,3058800,16182000,5922800,6653600,87955200,5275200,146470000,6407600
7/31/90 12:00 AM,4101600,3444800,17149200,5477200,5936000,42307200,4367400,175380000,9046800
8/1/90 12:00 AM,2756000,3350800,11884800,6841200,5228800,111113600,4466400,178260000,8220800
8/2/90 12:00 AM,2188800,7973600,26122800,7474800,8464800,91769600,6517200,253090000,16100000
8/3/90 12:00 AM,4884000,9609200,40646400,14196800,14192800,117177600,8950200,295880000,13061200
8/6/90 12:00 AM,5452800,6425600,34378800,9140000,10767200,113184000,8236200,240400000,13908800
8/7/90 12:00 AM,3921600,7096400,35928000,8947200,9827200,91065600,6847200,231580000,9061200
8/8/90 12:00 AM,2892800,3674400,19042800,7539200,9273600,86259200,5500800,190400000,7932000
8/9/90 12:00 AM,1453600,3443600,16318800,5054800,5558400,77052800,2993400,155810000,5053200
8/10/90 12:00 AM,2573600,3683600,14250000,5794000,4808800,73184000,3678600,145340000,5321200
8/13/90 12:00 AM,2948000,5584400,16153200,6331200,4975200,53942400,3733800,122820000,3686800
8/14/90 12:00 AM,3868000,3520800,17850000,6623600,8897600,33708800,2706600,130320000,3772400
8/15/90 12:00 AM,2500000,3292000,17689200,6059600,7471200,51408000,3406200,136710000,2819200
8/16/90 12:00 AM,2320000,4438800,21270000,8125600,7288800,53328000,2990400,138850000,4677600
8/17/90 12:00 AM,5627200,8806400,38864400,10562400,12492800,95225600,8923800,212560000,9978800
8/20/90 12:00 AM,2032800,2681200,15891600,4955200,3256000,113600000,4605000,129630000,3715600
8/21/90 12:00 AM,6923200,5769200,34074000,9559600,9801600,165648000,8136000,194630000,6246800
8/22/90 12:00 AM,4680000,4395600,27439200,7892000,6201600,79232000,5058600,175550000,4413200
8/23/90 12:00 AM,3381600,5138800,41581200,9709600,11464000,107443200,7626000,250440000,5420800
8/24/90 12:00 AM,2873600,2634400,30946800,8158400,6544000,95443200,5920800,199040000,7609200
8/27/90 12:00 AM,3017600,4214800,31798800,6300400,5840000,110115200,4897200,160150000,4056400
8/28/90 12:00 AM,1416800,2877600,16227600,3872400,4030400,79824000,3072000,127660000,5336400
8/29/90 12:00 AM,6095200,5407600,14964000,4578800,4762400,77952000,3988200,134240000,3042000
8/30/90 12:00 AM,2922400,4388800,16497600,4320400,4924000,65379200,2668800,120890000,3595600
8/31/90 12:00 AM,1728000,3570000,10462800,3541600,2911200,40736000,2390400,96480000,3460800
9/4/90 12:00 AM,1719200,2974800,18162000,4802000,4377600,47376000,2203200,92940000,4415600
9/5/90 12:00 AM,3662400,2292000,20912400,5810400,7396000,54675200,2469200,120610000,5332400
9/6/90 12:00 AM,1577600,3134800,21080400,5388000,6016000,115616000,3151800,125620000,7060000
9/7/90 12:00 AM,2815200,2098800,14437200,6538800,5586400,53702400,2816200,123800000,3502000
9/10/90 12:00 AM,1612000,2732400,16923600,6437600,5266400,74246400,2625200,119730000,3918000
9/11/90 12:00 AM,2302400,6370800,11461200,5752800,3526400,78867200,3085400,113220000,2435200
9/12/90 12:00 AM,4724000,3600800,11451600,4771600,3515200,75014400,2869200,129890000,5205600
9/13/90 12:00 AM,4599200,3492400,10999200,4308000,3607200,49865600,1868600,123390000,4936400
9/14/90 12:00 AM,3562400,4084400,20404800,5390400,4513600,67670400,2125800,133390000,3645600
9/17/90 12:00 AM,4004800,2782000,15123600,3579600,4497600,70390400,2411400,110600000,4762000
9/18/90 12:00 AM,4048800,4456400,26780400,6796800,5877600,60636800,3803200,141130000,4506400
9/19/90 12:00 AM,5126400,6536800,36505200,8756400,4058400,52694400,3609000,147530000,3569200
9/20/90 12:00 AM,5937600,3607600,39603600,4854000,5057600,52444800,5273400,145100000,6968800
9/21/90 12:00 AM,3645600,5503600,38478000,8846000,9164000,79891200,6668600,201050000,10485600
9/24/90 12:00 AM,3950400,4961200,23841600,7974800,5826400,81436800,4026400,164070000,3290800
9/25/90 12:00 AM,4120800,5642000,19414800,6181200,5988800,53308800,3439600,155940000,3415600
9/26/90 12:00 AM,2684000,3363200,20774400,6977600,6841600,39267200,3355400,155570000,5149200
9/27/90 12:00 AM,3377600,5085600,39099600,6756400,5476000,65724800,3596800,182690000,4662000
9/28/90 12:00 AM,4637600,6291200,33742800,7900400,6606400,97980800,4181400,201010000,5123600
10/1/90 12:00 AM,5064000,5581200,9996000,7405200,9764800,131619200,6042800,202210000,4980800
10/2/90 12:00 AM,4003200,9699200,29752800,7572400,8338400,83465600,4179800,188360000,4534400
10/3/90 12:00 AM,2588000,9591200,16078800,4406800,4664000,57600000,2002600,135490000,3108000
10/4/90 12:00 AM,1913600,7638800,19591200,4648000,4427200,69292800,2765200,145410000,3410000
10/5/90 12:00 AM,1475200,3572000,23518800,6280000,6513600,82099200,2794400,153380000,3121200
10/8/90 12:00 AM,1201600,2218800,10080000,3605200,3138400,38678400,1404600,99470000,1543200
10/9/90 12:00 AM,2164000,4321200,17061600,5674400,5424800,66374400,2440800,145610000,2804800
10/10/90 12:00 AM,10850400,5283600,25734000,9034400,6015200,115593600,2428200,169190000,4966800
10/11/90 12:00 AM,10104800,7376800,24715200,12455200,6072800,83811200,3129000,180060000,5250800
10/12/90 12:00 AM,5842400,8169200,22171200,9232400,5707200,109251200,3316400,187940000,5373200
10/15/90 12:00 AM,3872800,7190000,20125200,12485600,6089600,130332800,3137000,164980000,6314400
10/16/90 12:00 AM,2915200,10913200,21844800,6760800,4444000,300886400,1665400,149570000,3926400
10/17/90 12:00 AM,2304800,11059200,22040400,5321200,3058400,135820800,5510600,161260000,3922400
10/18/90 12:00 AM,3892000,11255600,25401600,7466000,7571200,123737600,3919000,204110000,5103600
10/19/90 12:00 AM,3825600,33363200,33580800,10602400,10882400,170336000,4756400,221480000,10223600
10/22/90 12:00 AM,1586400,9041200,31570800,7673200,11631200,80294400,3092800,152650000,4220000
10/23/90 12:00 AM,2168000,5969200,19628400,5082800,5624800,71884800,2153200,146300000,4603200
10/24/90 12:00 AM,1732800,5079200,29450400,6477600,3801600,54732800,2414400,149290000,2742000
10/25/90 12:00 AM,1660800,5481200,28003200,6368000,5708800,51497600,2096800,141460000,4766800
10/26/90 12:00 AM,2899200,4811200,23842800,4984400,3391200,59126400,1737600,130190000,4838000
10/29/90 12:00 AM,1658400,4415600,23887200,5254400,4111200,67881600,2629800,133980000,3742400
10/30/90 12:00 AM,1920800,3513600,27138000,6556000,6209600,52563200,2737200,153450000,3171200
10/31/90 12:00 AM,6191200,5331200,15692400,5810000,4477600,61200000,2589200,156060000,3540800
11/1/90 12:00 AM,1924800,3258800,18014400,4935600,6020000,49440000,1888200,159270000,4003600
11/2/90 12:00 AM,4729600,5323200,20180400,7161200,5122400,74764800,2569600,168700000,5886400
11/5/90 12:00 AM,2712000,6604400,16641600,4834800,3377600,50700800,2941800,147510000,3604800
11/6/90 12:00 AM,4288000,6620800,11838000,6374000,2597600,59212800,1915800,142660000,4129200
11/7/90 12:00 AM,1948800,7254400,15001200,5603200,3717600,63100800,2082200,149130000,3467600
11/8/90 12:00 AM,4703200,7136400,18448800,6476800,5315200,43462400,2378400,155570000,4142400
11/9/90 12:00 AM,3288800,7102000,18847200,9096800,8086400,43344000,2658200,145160000,4293200
11/12/90 12:00 AM,4960800,5192000,21330000,14173200,7781600,87657600,4415600,161390000,4818800
11/13/90 12:00 AM,3098400,5086400,22917600,8526000,6189600,67654400,3530400,160240000,3422000
11/14/90 12:00 AM,2424000,6819200,16470000,7875600,5053600,59721600,3186000,179310000,3478800
11/15/90 12:00 AM,3323200,5787600,13645200,6158800,6381600,63129600,1633800,151370000,4476400
11/16/90 12:00 AM,2952800,6545200,25172400,9078800,7441600,67075200,2505200,165440000,7961200
11/19/90 12:00 AM,2168000,8017600,18886800,7443200,4371200,45552000,2535800,140950000,4540800
11/20/90 12:00 AM,2509600,5490800,22634400,8001200,4515200,68864000,2547600,161170000,4091200
11/21/90 12:00 AM,1550400,4400800,15367200,5251600,4038400,60739200,2190600,140660000,3936800
11/23/90 12:00 AM,1333600,1911200,4462800,1862000,1611200,22060800,1220000,63350000,2339200
11/26/90 12:00 AM,1232800,2925600,13736400,4661600,4137600,47577600,1521400,131540000,3534800
11/27/90 12:00 AM,2068000,5899200,16050000,6126000,5057600,63417600,2776000,147590000,3715600
11/28/90 12:00 AM,2327200,6250800,13208400,5276800,7142400,77619200,2302200,145490000,2741200
11/29/90 12:00 AM,1985600,4528000,16971600,4782800,10044000,65865600,3170800,140920000,3211200
11/30/90 12:00 AM,4343200,4350800,33372000,7217600,10017600,72163200,5024800,192350000,5001200
12/3/90 12:00 AM,1983200,5922400,20913600,6280800,7966400,68240000,4957200,177000000,3560800
12/4/90 12:00 AM,2115200,5453200,18506400,5831600,6360000,54547200,3310200,185820000,3766400
12/5/90 12:00 AM,2320800,7822000,24972000,5938000,4631200,68630400,2949400,205820000,2340800
12/6/90 12:00 AM,2231200,19013600,34268400,13558400,9880000,108201600,4237400,256380000,6571200
12/7/90 12:00 AM,2108000,11781200,19372800,7637600,6424800,81920000,2132600,164950000,4050800
12/10/90 12:00 AM,1252800,8966400,13820400,4695200,3555200,55526400,1661600,138650000,3007600
12/11/90 12:00 AM,2644000,12438000,12904800,3991600,3124000,61766400,2057200,145330000,3898000
12/12/90 12:00 AM,3227200,8664400,21048000,5887600,4572800,71558400,3752800,182270000,6633200
12/13/90 12:00 AM,1632000,5752000,12349200,4372400,4727200,50707200,2271800,162110000,3386800
12/14/90 12:00 AM,1438400,3126400,15628800,5740800,3802400,48633600,2254000,151010000,4047600
12/17/90 12:00 AM,1327200,4683600,12871200,3819600,2844000,27286400,1392600,118560000,3263600
12/18/90 12:00 AM,2290400,7899200,17863200,6467200,5787200,51872000,2664400,176460000,4456800
12/19/90 12:00 AM,2479200,5036800,15830400,9855600,5533600,34262400,2752400,180380000,2884800
12/20/90 12:00 AM,2083200,14326400,20485200,7584000,4840000,46992000,2153200,174700000,2603200
12/21/90 12:00 AM,2012000,12363200,34285200,8338400,11562400,33468800,3776200,233400000,12047600
12/24/90 12:00 AM,620000,2106800,4639200,1365200,838400,13548800,799000,57200000,1887600
12/26/90 12:00 AM,485600,3682000,5968800,1587200,1250400,16214400,624000,78730000,3209200
12/27/90 12:00 AM,769600,3492000,9406800,2856400,2406400,22627200,1096000,102900000,2858000
12/28/90 12:00 AM,680000,2285200,830400,2912800,1722400,20265600,1006000,111030000,2080800
12/31/90 12:00 AM,390400,1593200,6300000,1845200,2353600,23702400,1064600,114130000,1776800
1/2/91 12:00 AM,2669600,5543600,14178000,4150800,10632800,38105600,3021200,126280000,4588000
1/3/91 12:00 AM,3568000,5365600,17462400,5229600,9389600,52822400,2433600,141450000,3463600
1/4/91 12:00 AM,4916000,5062400,20287200,4340400,6677600,58483200,2620400,140820000,4101200
